;signal_id;id_measurement;phase;target;number_of_peaks_p2;number_of_peaks_p3;number_of_peaks_p4;mean_width_of_peaks_p2;mean_width_of_peaks_p4;mean_width_of_peaks_p3;mean_width_of_peaks_overall;max_width_of_peaks_p2;max_width_of_peaks_p3;max_width_of_peaks_p4;max_width_of_peaks_overall;min_width_of_peaks_p2;min_width_of_peaks_p4;min_width_of_peaks_p3;min_width_of_peaks_overall;mean_height_of_peaks_p2;mean_height_of_peaks_p4;mean_height_of_peaks_p3;max_height_of_peaks_p2;max_height_of_peaks_p4;max_height_of_peaks_p3;min_height_of_peaks_p2;min_height_of_peaks_p4;min_height_of_peaks_p3;sum_spectrum_p1;max_spectrum_p1;mean_spectrum_p1;max_freq_spectrum_p1;sum_spectrum_p2;max_spectrum_p2;mean_spectrum_p2;max_freq_spectrum_p2;sum_spectrum_p3;max_spectrum_p3;mean_spectrum_p3;max_freq_spectrum_p3;sum_spectrum_p4;max_spectrum_p4;mean_spectrum_p4;max_freq_spectrum_p4
0;0;0;0;0;7.0;52.0;2.0;0.00046541906775847457;0.00014924626659184838;0.0003706252865747898;0.0001927867198399183;0.0013879199393474206;0.0017804676416694027;0.0007411865450198908;0.0017804676416694027;4.494826723384904e-08;3.830375758843729e-08;6.402812968881335e-08;3.830375758843729e-08;23.074763963149746;19.51603299223208;19.468395373569585;28.14193324902115;49.98501147818338;19.54390403046306;14.174970708543093;10.836154075902073;19.39288671667611;1.4222430309018819e-06;2.0538777789624874e-07;4.444509471568381e-08;3750000.0;9.483353551331675e-07;2.72484129482109e-07;2.9635479847911483e-08;5937500.0;1.2852319741796236e-06;2.454761443004827e-07;4.016349919311324e-08;14375000.0;2.9275724955368787e-06;1.2149251915616333e-06;9.148664048552746e-08;15000000.0
1;1;0;1;0;2.0;9.0;3.0;0.0005555441270620278;0.0015457293716244931;0.0022054254228917164;0.0015456377762442602;0.0008608183282007623;0.005298936312442084;0.005623527529723768;0.005623527529723768;0.00025026992592329335;1.59262546020429e-05;0.0002516432797197398;1.59262546020429e-05;14.13798076125919;14.641478276306565;22.039735227063264;15.71869811120581;24.177331399183956;34.25592519024653;12.557263411312569;10.33707150627727;11.410613054590257;1.5285114614016493e-06;2.0078461204775522e-07;4.776598316880154e-08;3593750.0;1.096068331207789e-06;2.2700818647081178e-07;3.425213535024341e-08;5937500.0;9.988876854549744e-07;2.1774025071863434e-07;3.121524017046795e-08;14375000.0;2.4057828795776004e-06;1.0602351494526374e-06;7.518071498680001e-08;15000000.0
2;2;0;2;0;9.0;39.0;3.0;0.001273636490395247;0.0002158132355156948;0.001905860576345274;0.0005019024770138264;0.006642075751599505;0.0037182917902524363;0.004976417343008943;0.006642075751599505;4.167576685285894e-08;4.316467075259425e-08;4.647191029798705e-08;4.167576685285894e-08;25.813748204244177;19.472371766065205;20.25780434684116;46.8202015563778;46.702113906936056;25.102916765550415;11.042996731547827;10.452638068249462;15.428699996858843;1.6724554825486848e-06;2.436254362692125e-07;5.22642338296464e-08;3750000.0;1.2857095725848922e-06;3.4051905117848946e-07;4.017842414327788e-08;9531250.0;9.471590374232619e-07;1.8334162632527296e-07;2.9598719919476935e-08;14843750.0;2.47697289523785e-06;9.915988812281284e-07;7.740540297618281e-08;15000000.0
3;3;1;0;1;7.0;19.0;9.0;0.0008501196934986163;0.0004273801555192308;0.0007883333252211561;0.0006047445924670315;0.0032670293223536146;0.002910807289280271;0.004011794284272933;0.004011794284272933;4.492543648957508e-08;6.49999426517752e-08;4.1860311760683545e-08;4.1860311760683545e-08;18.915787404512766;16.629953731725273;12.903864366926975;30.18598277252516;39.30438068837874;16.866925205230068;10.626381608453267;10.590452388341905;10.3155550435953;2.0400404991960386e-06;1.928275707996363e-07;6.37512655998762e-08;937500.0;1.7392166000718134e-06;7.264053465405595e-07;5.435051875224417e-08;5781250.0;2.9345824259507935e-07;1.199280852404172e-08;9.17057008109623e-09;11718750.0;3.63835567895876e-07;1.3568942414110552e-08;1.1369861496746125e-08;16562500.0
4;4;1;1;1;6.0;4.0;0.0;0.0014460457779652794;0.0018930212738640323;0.0;0.0016248359763247804;0.0036325126702618496;0.004449969802421967;0.0;0.004449969802421967;0.00017760707529924547;3.376010944301961e-05;0.0;3.376010944301961e-05;31.512908116205978;15.249653243168261;0.0;48.63809106920614;18.95445953165914;0.0;19.776801996964164;10.323669346265408;0.0;2.1794385247631e-06;2.2869372173772717e-07;6.810745389884687e-08;937500.0;1.52202767367271e-06;5.016555064685235e-07;4.756336480227219e-08;5781250.0;2.335873432457447e-07;9.326843297685627e-09;7.299604476429522e-09;11718750.0;2.944210564237437e-07;1.1533627386484113e-08;9.200658013241991e-09;19375000.0
5;5;1;2;1;10.0;21.0;7.0;0.0015936516240382863;0.0001979155286284842;0.00026643460321510874;0.0005778364358970209;0.008386992156059696;0.0013139175916526817;0.0010762485734597314;0.008386992156059696;4.656189481902402e-08;4.0460968240222425e-08;4.4126411553588695e-08;4.0460968240222425e-08;20.228941162066885;18.768213338565708;12.353436100870928;47.67421115822397;50.01667155754542;15.696559069018601;11.112923496892625;10.49834835885222;10.21439655150315;2.414849177512224e-06;2.299380525982997e-07;7.5464036797257e-08;937500.0;1.6053769513746374e-06;5.843252779413888e-07;5.016802973045742e-08;5781250.0;2.800175025186036e-07;1.2359088863433954e-08;8.750546953706362e-09;14531250.0;4.245050320150767e-07;1.628649037854757e-08;1.3265782250471148e-08;17031250.0
6;6;2;0;0;1.0;5.0;0.0;0.0018261711883032193;0.0006747815913797938;0.0;0.0008666798575336981;0.0018261711883032193;0.0024549155971470495;0.0;0.0024549155971470495;0.0018261711883032193;3.8303763160365635e-08;0.0;3.8303763160365635e-08;39.68748933499707;51.67429276390192;0.0;39.68748933499707;66.54341780693673;0.0;39.68748933499707;25.915870753931223;0.0;5.773906195827294e-06;2.2562596768693766e-06;1.8043456861960294e-07;468750.0;2.245828625291324e-07;2.0062353556227208e-08;7.0182144540353875e-09;7031250.0;8.335478014487308e-07;3.169151625570521e-07;2.6048368795272836e-08;14843750.0;7.008574812061852e-06;2.9810885280312505e-06;2.1901796287693287e-07;15156250.0
7;7;2;1;0;1.0;4.0;2.0;7.833959830168169e-08;0.002193364708731266;0.0007144101368179982;0.0014574796354513374;7.833959830168169e-08;0.006062185818584292;0.00142873397180732;0.006062185818584292;7.833959830168169e-08;7.83231778172194e-08;8.630182867636904e-08;7.83231778172194e-08;11.63848487315494;16.010973240717544;29.18185668680289;11.63848487315494;23.785723252855767;39.515792332832646;11.63848487315494;10.077785087814679;18.847921040773137;4.594575329974759e-06;1.772066980265663e-06;1.4358047906171123e-07;468750.0;2.649869657034287e-07;1.6432309735137096e-08;8.280842678232148e-09;7031250.0;5.099181521472929e-07;1.0242688119888044e-07;1.5934942254602902e-08;14843750.0;4.2992419366783e-06;2.0301315544202225e-06;1.3435131052119687e-07;15156250.0
8;8;2;2;0;1.0;5.0;0.0;0.006062189664955777;0.000674721654473347;0.0;0.0015726329895537521;0.006062189664955777;0.001056943637907831;0.0;0.006062189664955777;0.006062189664955777;6.028512352058897e-08;0.0;6.028512352058897e-08;19.23358105251667;28.96896715746849;0.0;19.23358105251667;37.52933511441169;0.0;19.23358105251667;16.84888446110351;0.0;2.1579255644610384e-06;8.384482157453022e-07;6.743517388940745e-08;468750.0;2.0656378296735056e-07;1.0111768311560354e-08;6.455118217729705e-09;7031250.0;5.803688623018388e-07;1.05689160534439e-07;1.8136526946932463e-08;13593750.0;6.87193369230954e-06;3.085883463427308e-06;2.1474792788467312e-07;15156250.0
9;9;3;0;0;47.0;129.0;34.0;0.00028113835458151595;9.867407062347188e-05;0.0001482149463884946;0.00014753221882365686;0.004256105406390348;0.0010873267008005248;0.0025555065757368253;0.004256105406390348;4.477032551076263e-08;4.280703927652212e-08;4.307519230642356e-08;4.280703927652212e-08;32.157772388748626;47.36181309958745;26.75932996031671;257.00013113979105;258.56687422096786;242.02714136675587;10.16954054009438;10.137352379878207;10.029306294035331;1.3231761840870604e-05;2.792038685583975e-06;4.1349255752720637e-07;1093750.0;5.496978246810613e-06;1.7515627632747055e-06;1.7178057021283166e-07;5781250.0;1.1188047210453078e-05;1.8482486439097556e-06;3.496264753266587e-07;13281250.0;2.3917233193060383e-05;3.1302333809435368e-06;7.47413537283137e-07;15468750.0
